ND,DC,EC,LC,CC,BC,FR
" Yuksel S, 2021, STRATEGIC OUTLOOK BU",0.00020483408439164277,0.04971149808135461,0.0,0.11326357794121059,0.0,0
" Nicol F, 2004, ENERG BUILDINGS",0.00020483408439164277,6.969472216500429e-11,0.0,0.0909446545332613,0.0,0
" Soleimanzadeh M, 2012, J WIND ENG IND AEROD",0.00040966816878328555,0.04999187278469805,0.004187487647397739,0.11484086471736726,0.0030624167946865723,0
"Andersen Oj, 2006, MAR STRUCT",0.00020483408439164277,1.2461330473394521e-05,0.0,0.10576943908832896,0.0,0
" Czeisler Ca, 2007, COLD SPRING HARB SYM",0.00020483408439164277,1.2263829271099902e-15,0.0,0.06215703499993634,0.0,0
" Debevec P E, 1997, COMPUTER GRAPHICS PROCEEDINGS",0.00020483408439164277,9.065669630396694e-15,0.0,0.06412125510592748,0.0,0
" Mucke T, 2011, WIND ENERGY",0.00020483408439164277,0.00036154325136189487,0.0,0.10647532223942771,0.0,0
" Kolata Jj, 2012, PHYS REV C",0.00020483408439164277,3.5730463859147527e-13,0.0,0.062008611601529255,0.0,0
" Mann Ja, 1963, J COLL SCI IMP U TOK",0.00020483408439164277,1.9397333162605193e-09,0.0,0.07782188003124352,0.0,0
" Dirksen M, 2019, URBAN CLIM",0.00020483408439164277,1.1345059053813461e-07,0.0,0.11601435327107246,0.0,0
" Meyer Kc, 2007, SEMIN RESP CRIT CARE",0.00020483408439164277,6.961872010461954e-10,0.0,0.07747853549380267,0.0,0
" Kolodner P, 1988, J CHEM PHYS",0.00020483408439164277,5.723985633341467e-14,0.0,0.05979399120604554,0.0,0
" Audet C, 2021, EUR J OPER RES",0.00020483408439164277,2.848622200432603e-08,0.0,0.09092771600454452,0.0,0
" Sun Hy, 2020, APPL ENERG",0.00020483408439164277,0.04971149808135461,0.0,0.11326357794121059,0.0,0
"Madan Ok1, 2021, J PHYS CONF SER",0.0030725112658746417,2.648654642417462e-07,0.0057277166241093535,0.10470552910393342,0.0057277166241093535,0
" Sescu A, 2014, Q J ROY METEOR SOC",0.00020483408439164277,0.0007199573518664959,0.0,0.11146882206543827,0.0,0
" Matha D, 2017, ENRGY PROCED",0.00020483408439164277,2.299025306714953e-06,0.0,0.11696494884879849,0.0,0
" Lakshmanan V, 2020, VALUE FLEXIBILITY A",0.00020483408439164277,1.1946553572742683e-09,0.0,0.0926217534007475,0.0,0
" Rupietta K, 2018, SCHMALENBACH BUS REV",0.00020483408439164277,5.1862071358098774e-11,0.0,0.08165108461139636,0.0,0
" Meyer Forsting A, 2017, THESIS DTU WIND ENE",0.00020483408439164277,2.5521738477345628e-05,0.0,0.0926217534007475,0.0,0
" Larsen T J, 2014, 2 HAWC2 USERS MANUA",0.00020483408439164277,1.3281677685477864e-05,0.0,0.11423891423891423,0.0,0
" Sun Sl, 2017, INFORM FUSION",0.00020483408439164277,5.1862071358098774e-11,0.0,0.08165108461139636,0.0,0
" Hall M, 2021, J PHYS CONF SER",0.00020483408439164277,2.2981176228500297e-16,0.0,0.056404746224856445,0.0,0
" Vigueras-Rodriguez A, 2010, WIND ENERGY",0.00020483408439164277,0.00028037470334343434,0.0,0.10433630399008356,0.0,0
" Allaerts D, 2017, J FLUID MECH",0.00040966816878328555,0.0004612032256635508,0.0004397383778023836,0.1095429353557565,0.0003943821783327263,0
" Van Der Laan P, 2014, WIND ENERG",0.00020483408439164277,2.5521738477345628e-05,0.0,0.0926217534007475,0.0,0
" Ueno T, 2020, ENERG BUILDINGS",0.00020483408439164277,1.2515328795044264e-08,0.0,0.10552709508678641,0.0,0
" Seity Y, 2011, MON WEATHER REV",0.00020483408439164277,6.385949970817321e-10,0.0,0.094245284840061,0.0,0
